landmark_id,x_norm,y_norm,z_norm,x_px,y_px,z_approx_px
0,0.5542018413543701,0.7517252564430237,-0.06197335943579674,124,168,-13
1,0.5787898898124695,0.654513955116272,-0.14012396335601807,129,146,-31
2,0.5514569282531738,0.6801990866661072,-0.06783634424209595,123,152,-15
3,0.5323341488838196,0.5584067106246948,-0.12697027623653412,119,125,-28
4,0.5807268023490906,0.6258273720741272,-0.15235328674316406,130,140,-34
5,0.5709209442138672,0.5861945748329163,-0.14637376368045807,127,131,-32
6,0.5353325605392456,0.4848264753818512,-0.08995866030454636,119,108,-20
7,0.28716009855270386,0.4784926474094391,-0.05634442716836929,64,107,-12
8,0.5226885080337524,0.40635666251182556,-0.08170340955257416,117,91,-18
9,0.5233102440834045,0.3668355941772461,-0.09288108348846436,117,82,-20
10,0.5096921920776367,0.21583667397499084,-0.08592366427183151,114,48,-19
11,0.5528903007507324,0.7669919729232788,-0.056066159158945084,123,171,-12
12,0.5482366681098938,0.7794188857078552,-0.045574236661195755,122,174,-10
13,0.5420839786529541,0.7847565412521362,-0.03258220851421356,121,175,-7
14,0.5438924431800842,0.8014717698097229,-0.020444320514798164,121,179,-4
15,0.5462980270385742,0.817569375038147,-0.022602025419473648,122,183,-5
16,0.5465901494026184,0.8358532190322876,-0.024823520332574844,122,187,-5
17,0.5428850650787354,0.852916419506073,-0.016493812203407288,121,191,-3
18,0.5284082889556885,0.8647412061691284,0.015247546136379242,118,193,3
19,0.5714775323867798,0.6680895090103149,-0.125084787607193,128,149,-28
20,0.5318593382835388,0.6692566871643066,-0.09574557095766068,119,149,-21
21,0.1338324248790741,0.349506676197052,0.008637471124529839,29,78,1
22,0.38066747784614563,0.4976239800453186,-0.05460396036505699,85,111,-12
23,0.352023720741272,0.5031997561454773,-0.06181902438402176,78,112,-13
24,0.32178887724876404,0.5052410960197449,-0.06369169801473618,72,113,-14
25,0.2728314995765686,0.4878644049167633,-0.054749906063079834,61,109,-12
26,0.40405672788619995,0.4884239733219147,-0.04364131763577461,90,109,-9
27,0.3361402451992035,0.4174414277076721,-0.08543828129768372,75,93,-19
28,0.3704225718975067,0.4189058244228363,-0.07345777004957199,82,93,-16
29,0.3024166524410248,0.4233224391937256,-0.08457368612289429,67,94,-18
30,0.2787836194038391,0.43534255027770996,-0.07815942913293839,62,97,-17
31,0.25007644295692444,0.5096385478973389,-0.04500570893287659,56,114,-10
32,0.4091571569442749,0.8978955745697021,0.022485515102744102,91,201,5
33,0.27134597301483154,0.4690170884132385,-0.05175280570983887,60,105,-11
34,0.132725328207016,0.48263612389564514,0.03802639618515968,29,108,8
35,0.20955674350261688,0.48626530170440674,-0.032083772122859955,46,108,-7
36,0.3792046904563904,0.6332376003265381,-0.06039595231413841,84,141,-13
37,0.5178104043006897,0.7510974407196045,-0.0703432559967041,115,168,-15
38,0.5164212584495544,0.7832854986190796,-0.05202345922589302,115,175,-11
39,0.47381407022476196,0.7661486864089966,-0.06526998430490494,106,171,-14
40,0.4429621994495392,0.7796916961669922,-0.052112508565187454,99,174,-11
41,0.484566330909729,0.7885390520095825,-0.051343340426683426,108,176,-11
42,0.4583378732204437,0.7932038307189941,-0.03832901269197464,102,177,-8
43,0.38686153292655945,0.8247016072273254,-0.0065098959021270275,86,184,-1
44,0.5543228387832642,0.6559460759162903,-0.14441077411174774,124,146,-32
45,0.5507277846336365,0.628882110118866,-0.15693235397338867,123,140,-35
46,0.2360089272260666,0.40873944759368896,-0.09055806696414948,52,91,-20
47,0.43100690841674805,0.5514421463012695,-0.06137765944004059,96,123,-13
48,0.4563979506492615,0.6517539024353027,-0.1013355404138565,102,145,-22
49,0.4477929472923279,0.6345245838165283,-0.09557507932186127,100,142,-21
50,0.28139644861221313,0.6330996751785278,-0.05736415460705757,63,141,-12
51,0.5430949926376343,0.5912874341011047,-0.14765948057174683,121,132,-33
52,0.32278671860694885,0.37641823291778564,-0.11306888610124588,72,84,-25
53,0.2737724184989929,0.3867093026638031,-0.10642962157726288,61,86,-23
54,0.1788124293088913,0.2991245687007904,-0.0390283428132534,40,67,-8
55,0.4592214822769165,0.400540828704834,-0.09346859157085419,102,89,-20
56,0.3979976773262024,0.42914843559265137,-0.05609136447310448,89,96,-12
57,0.3677094578742981,0.7984668612480164,-0.014738481491804123,82,178,-3
58,0.15339460968971252,0.7396214604377747,0.16411300003528595,34,165,36
59,0.4773809313774109,0.6665880084037781,-0.08183823525905609,106,149,-18
60,0.5024318695068359,0.6741259694099426,-0.07249946892261505,112,151,-16
61,0.4007907807826996,0.801775336265564,-0.011987995356321335,89,179,-2
62,0.4146497845649719,0.7997546195983887,-0.014251125045120716,92,179,-3
63,0.2539987564086914,0.3662961721420288,-0.1026541069149971,56,82,-22
64,0.44975602626800537,0.6639468669891357,-0.0842398852109909,100,148,-18
65,0.383942186832428,0.3796437978744507,-0.10971557348966599,86,85,-24
66,0.38060614466667175,0.3557441234588623,-0.12043512612581253,85,79,-26
67,0.33315691351890564,0.23301860690116882,-0.10693211853504181,74,52,-23
68,0.21971775591373444,0.3338499367237091,-0.0759025439620018,49,74,-17
69,0.36336660385131836,0.2943716049194336,-0.11486321687698364,81,65,-25
70,0.21222737431526184,0.39428746700286865,-0.07622639834880829,47,88,-17
71,0.17496725916862488,0.37442004680633545,-0.036127712577581406,39,83,-8
72,0.5178662538528442,0.7694690227508545,-0.0648573786020279,116,172,-14
