имя_файла,дата_обработки,форма_лба,положение_бровей,форма_головы,ошибка,соотношение_лба,средняя_высота_бровей,соотношение_головы
-_OnqZ0eJas.jpg,2025-04-17 15:48:35,прямоугольный,высокие,горизонтальная,,14.7,23.7,1.37
1200а.jpg,2025-04-17 15:48:35,прямоугольный,высокие,горизонтальная,,6.54,18.5,1.06
16.jpg,2025-04-17 15:48:35,прямоугольный,высокие,горизонтальная,,5.87,22.0,1.04
16028.jpg,2025-04-17 15:48:35,прямоугольный,высокие,горизонтальная,,12.0,16.9,1.26
16503а (1).jpg,2025-04-17 15:48:35,прямоугольный,высокие,горизонтальная,,8.4,16.7,1.14
16503а (2).jpg,2025-04-17 15:48:35,прямоугольный,высокие,горизонтальная,,8.74,16.7,1.15
18474.jpg,2025-04-17 15:48:35,прямоугольный,высокие,горизонтальная,,13.71,19.9,1.33
1mvbji9E8j8.jpg,2025-04-17 15:48:35,прямоугольный,высокие,горизонтальная,,8.02,17.1,1.14
20729.jpg,2025-04-17 15:48:35,прямоугольный,высокие,горизонтальная,,8.36,18.1,1.15
21.jpg,2025-04-17 15:48:35,прямоугольный,низкие,горизонтальная,,9.9,13.6,1.22
2510.jpg,2025-04-17 15:48:35,прямоугольный,высокие,горизонтальная,,11.75,19.9,1.27
2656b.jpg,2025-04-17 15:48:35,прямоугольный,низкие,горизонтальная,,11.35,14.7,1.22
2gKSVLBc23E.jpg,2025-04-17 15:48:35,прямоугольный,высокие,горизонтальная,,6.98,15.4,1.08
2Si3ZA8zLRo.jpg,2025-04-17 15:48:35,прямоугольный,высокие,горизонтальная,,8.44,19.1,1.16
31447а (1).jpg,2025-04-17 15:48:35,прямоугольный,высокие,горизонтальная,,9.18,18.5,1.18
31447а (2).jpg,2025-04-17 15:48:35,прямоугольный,высокие,горизонтальная,,8.57,18.7,1.15
42892.jpg,2025-04-17 15:48:35,прямоугольный,высокие,горизонтальная,,9.92,22.0,1.2
43BhsyTyaTk.jpg,2025-04-17 15:48:35,прямоугольный,высокие,горизонтальная,,5.38,18.6,1.01
